Ruby :: Weapon | T3 | Fire Damage | +30~40%
Titan Marrow :: Accessory | T7 | Max HP | +180~210
Chaos Spore :: Weapon | T9 | Physical Damage | +130~180%
Chaos Spore :: Weapon | T9 | Attack Damage | +100~150
Chaos Spore :: Armor | T8 | Cold Resistance | +40~45%
Chaos Spore :: Armor | T8 | Chaos Resistance | +40~45%
Chaos Spore :: Accessory | T8 | Movement Speed | +45~50%
Chaos Spore :: Accessory | T8 | HP Regen Per Sec | +700~1000
Primordial Sap :: Weapon | T10 | Area of Effect | +28~35%
Primordial Sap :: Weapon | T10 | Fire Damage | +180~250%
Primordial Sap :: Armor | T9 | Chaos Resistance | +45~50%
Primordial Sap :: Armor | T9 | HP Regen Per Sec | +1000~1500
Primordial Sap :: Accessory | T9 | Cast Speed | +35~40%
Primordial Sap :: Accessory | T9 | Movement Speed | +50~55%
Eldritch Venom :: Weapon | T10 | HP Per Hit | +10~12
Eldritch Venom :: Weapon | T10 | Attack Speed | +20~25%
Eldritch Venom :: Armor | T9 | Block Chance | +160~200%
Eldritch Venom :: Armor | T9 | Armor | +50~55%
Eldritch Venom :: Accessory | T9 | Critical Chance | +50~55%
Eldritch Venom :: Accessory | T9 | Cooldown Reduction | +13~14.5%
Chaso Dice :: Weapon | T10 | Critical Chance | +25~30%
Chaso Dice :: Weapon | T10 | Attack Damage | +150~300
Chaso Dice :: Armor | T10 | Max HP | +270~300
Chaso Dice :: Armor | T10 | Damage Absorption | +60~80
Chaso Dice :: Accessory | T10 | Cast Speed | +40~50%
Chaso Dice :: Accessory | T10 | Attack Damage | +150~300
Void Tendril :: Weapon | T10 | Attack Damage | +100~150%
Void Tendril :: Weapon | T10 | Critical Damage | +1000~1500%
Void Tendril :: Armor | T10 | Fire Resistance | +50~55%
Void Tendril :: Armor | T10 | Cooldown Reduction | +14.5~16%
Void Tendril :: Accessory | T10 | Max HP | +270~300
Void Tendril :: Accessory | T10 | Critical Chance | +55~60%
Scroll of Uncommon Inscription :: ANY | T2 | Attack Damage | +2~10
Scroll of Uncommon Inscription :: ANY | T2 | Attack Damage | +10~25%
Scroll of Uncommon Inscription :: ANY | T2 | Dodge Chance | +35~70%
Scroll of Uncommon Inscription :: ANY | T2 | Block Chance | +35~70%
Scroll of Uncommon Inscription :: ANY | T2 | Max HP | +30~120
Scroll of Uncommon Inscription :: ANY | T2 | Cooldown Reduction | +2.5~7%
Scroll of Uncommon Inscription :: ANY | T2 | Critical Chance | +15~30%
Scroll of Uncommon Inscription :: ANY | T2 | Critical Damage | +150~300%
Scroll of Uncommon Inscription :: ANY | T2 | Physical Damage | +20~50%
Scroll of Uncommon Inscription :: ANY | T2 | Fire Damage | +20~50%
Scroll of Uncommon Inscription :: ANY | T2 | Cold Damage | +20~50%
Scroll of Uncommon Inscription :: ANY | T2 | Lightning Damage | +20~50%
Scroll of Uncommon Inscription :: ANY | T2 | Fire Resistance | +10~25%
Scroll of Uncommon Inscription :: ANY | T2 | Cold Resistance | +10~25%
Scroll of Uncommon Inscription :: ANY | T2 | Lightning Resistance | +10~25%
Scroll of Uncommon Inscription :: ANY | T2 | HP Regen Per Sec | +150~300
Scroll of Rare Inscription :: ANY | T3 | Attack Damage | +3~15
Scroll of Rare Inscription :: ANY | T3 | Attack Damage | +15~30%
Scroll of Rare Inscription :: ANY | T3 | Armor | +100~250
Scroll of Rare Inscription :: ANY | T3 | Armor | +20~35%
Scroll of Rare Inscription :: ANY | T3 | Max HP | +60~150
Scroll of Rare Inscription :: ANY | T3 | Attack Speed | +6~11%
Scroll of Rare Inscription :: ANY | T3 | Cast Speed | +12~20%
Scroll of Rare Inscription :: ANY | T3 | Area of Effect | +9~14%
Scroll of Rare Inscription :: ANY | T3 | Increase Area Of Effect Damage | +30~60%
Scroll of Rare Inscription :: ANY | T3 | Increase Melee Damage | +30~60%
Scroll of Rare Inscription :: ANY | T3 | Increase Projectile Damage | +30~60%
Scroll of Rare Inscription :: ANY | T3 | Increase Summon Damage | +30~60%
Scroll of Rare Inscription :: ANY | T3 | Fire Resistance | +15~30%
Scroll of Rare Inscription :: ANY | T3 | Cold Resistance | +15~30%
Scroll of Rare Inscription :: ANY | T3 | Lightning Resistance | +15~30%
Scroll of Rare Inscription :: ANY | T3 | HP Per Hit | +1~7
Scroll of Legendary Inscription :: ANY | T4 | Attack Damage | +6~30
Scroll of Legendary Inscription :: ANY | T4 | Attack Damage | +20~40%
Scroll of Legendary Inscription :: ANY | T4 | Armor | +150~300
Scroll of Legendary Inscription :: ANY | T4 | Armor | +25~40%
Scroll of Legendary Inscription :: ANY | T4 | Dodge Chance | +55~110%
Scroll of Legendary Inscription :: ANY | T4 | Block Chance | +55~110%
Scroll of Legendary Inscription :: ANY | T4 | Max HP | +90~180
Scroll of Legendary Inscription :: ANY | T4 | Cooldown Reduction | +5.5~10%
Scroll of Legendary Inscription :: ANY | T4 | Critical Chance | +25~40%
Scroll of Legendary Inscription :: ANY | T4 | Critical Damage | +250~500%
Scroll of Legendary Inscription :: ANY | T4 | Physical Damage | +40~80%
Scroll of Legendary Inscription :: ANY | T4 | Fire Damage | +40~80%
Scroll of Legendary Inscription :: ANY | T4 | Cold Damage | +40~80%
Scroll of Legendary Inscription :: ANY | T4 | Lightning Damage | +40~80%
Scroll of Legendary Inscription :: ANY | T4 | Fire Resistance | +20~35%
Scroll of Legendary Inscription :: ANY | T4 | Cold Resistance | +20~35%
Scroll of Legendary Inscription :: ANY | T4 | Lightning Resistance | +20~35%
Scroll of Legendary Inscription :: ANY | T4 | HP Regen Per Sec | +250~500
Scroll of Celestial Inscription :: ANY | T8 | Attack Damage | +50~300
Scroll of Celestial Inscription :: ANY | T8 | Attack Damage | +50~150%
Scroll of Celestial Inscription :: ANY | T8 | Armor | +350~500
Scroll of Celestial Inscription :: ANY | T8 | Armor | +45~60%
Scroll of Celestial Inscription :: ANY | T8 | Max HP | +30~50%
Scroll of Celestial Inscription :: ANY | T8 | Critical Chance | +45~60%
Scroll of Celestial Inscription :: ANY | T8 | Critical Damage | +600~1500%
Scroll of Celestial Inscription :: ANY | T8 | Skill Duration Increase | +36~50%
Scroll of Celestial Inscription :: ANY | T8 | Increase Area Of Effect Damage | +100~250%
Scroll of Celestial Inscription :: ANY | T8 | Increase Melee Damage | +100~250%
Scroll of Celestial Inscription :: ANY | T8 | Increase Projectile Damage | +100~250%
Scroll of Celestial Inscription :: ANY | T8 | Increase Summon Damage | +100~250%
Scroll of Celestial Inscription :: ANY | T8 | Fire Resistance | +40~55%
Scroll of Celestial Inscription :: ANY | T8 | Cold Resistance | +40~55%
Scroll of Celestial Inscription :: ANY | T8 | Lightning Resistance | +40~55%
Scroll of Celestial Inscription :: ANY | T8 | Chaos Resistance | +40~55%
Scroll of Celestial Inscription :: ANY | T8 | HP Per Hit | +8~12
Scroll of Divine Inscription :: ANY | T9 | Attack Damage | +100~300
Scroll of Divine Inscription :: ANY | T9 | Attack Damage | +70~150%
Scroll of Divine Inscription :: ANY | T9 | Armor | +400~500
Scroll of Divine Inscription :: ANY | T9 | Armor | +50~60%
Scroll of Divine Inscription :: ANY | T9 | Max HP | +240~300
Scroll of Divine Inscription :: ANY | T9 | Attack Speed | +17~25%
Scroll of Divine Inscription :: ANY | T9 | Cast Speed | +35~50%
Scroll of Divine Inscription :: ANY | T9 | Physical Damage | +130~250%
Scroll of Divine Inscription :: ANY | T9 | Fire Damage | +130~250%
Scroll of Divine Inscription :: ANY | T9 | Cold Damage | +130~250%
Scroll of Divine Inscription :: ANY | T9 | Lightning Damage | +130~250%
Scroll of Divine Inscription :: ANY | T9 | Fire Resistance | +45~55%
Scroll of Divine Inscription :: ANY | T9 | Cold Resistance | +45~55%
Scroll of Divine Inscription :: ANY | T9 | Lightning Resistance | +45~55%
Scroll of Divine Inscription :: ANY | T9 | Chaos Resistance | +45~55%
Scroll of Divine Inscription :: ANY | T9 | HP Regen Per Sec | +1000~2000
Scroll of Divine Inscription :: ANY | T9 | Skill Heal Increase | +40.6~50%
Scroll of Cosmic Inscription :: ANY | T10 | Attack Damage | +150~300
Scroll of Cosmic Inscription :: ANY | T10 | Attack Damage | +100~150%
Scroll of Cosmic Inscription :: ANY | T10 | Max HP | +270~300
Scroll of Cosmic Inscription :: ANY | T10 | Max HP | +40~50%
Scroll of Cosmic Inscription :: ANY | T10 | Dodge Chance | +200~300%
Scroll of Cosmic Inscription :: ANY | T10 | Block Chance | +200~300%
Scroll of Cosmic Inscription :: ANY | T10 | Attack Speed | +20~25%
Scroll of Cosmic Inscription :: ANY | T10 | Cast Speed | +40~50%
Scroll of Cosmic Inscription :: ANY | T10 | Area of Effect | +28~35%
Scroll of Cosmic Inscription :: ANY | T10 | Cooldown Reduction | +14.5~16%
Scroll of Cosmic Inscription :: ANY | T10 | Skill Duration Increase | +45.3~50%
Scroll of Cosmic Inscription :: ANY | T10 | Movement Speed | +76~83
Scroll of Cosmic Inscription :: ANY | T10 | Movement Speed | +55~60%
Scroll of Cosmic Inscription :: ANY | T10 | Critical Chance | +55~60%
Scroll of Cosmic Inscription :: ANY | T10 | Critical Damage | +1000~1500%
Scroll of Cosmic Inscription :: ANY | T10 | All Elemental Resistance | +25~30%
Scroll of Cosmic Inscription :: ANY | T10 | Chaos Resistance | +50~55%
Scroll of Cosmic Inscription :: ANY | T10 | Life Leech | +50~65%
